original_index,question,cypher,typeql,review_reason
0,Which movies were released in 1995?,"MATCH (m:Movie) WHERE m.release_date STARTS WITH '1995' RETURN m.title, m.release_date","match $m isa movie; $m has release_date $release_date; $m has title $title; fetch { ""title"": $title, ""release_date"": $release_date };",Missing date filter for 1995 - TypeQL returns all movies instead of filtering by year
19,Name 3 movies with a release date after 2000.,MATCH (m:Movie) WHERE m.release_date > date('2000-01-01') RETURN m.title LIMIT 3,"match $m isa movie; $m has release_date $release_date; $m has title $title; limit 3; fetch { ""title"": $title };
  $release_date >= 2000-01-01;",Missing date filter - TypeQL returns any 3 movies instead of movies after 2000
21,List the first 3 movies that have a poster path ending in '.jpg'.,MATCH (m:Movie) WHERE m.poster_path IS NOT NULL AND m.poster_path ENDS WITH '.jpg' RETURN m.title LIMIT 3,"match $m isa movie; $m has poster_path $poster_path; $m has title $title; limit 3; fetch { ""title"": $title };",Missing ENDS WITH filter for '.jpg' - TypeQL returns any movies with poster_path
29,Name 3 movies spoken in more than one language.,"MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l:Language) WITH m, count(l) AS languageCount WHERE languageCount > 1 RETURN m.title LIMIT 3","match $m isa movie; $l isa language; $rel0 (media: $m, language: $l) isa spoken_in_language; $m has title $title_m; reduce $count = count($l); limit 3; fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 1
31,List the first 3 movies with an IMDb ID starting with 'tt'.,"MATCH (m:Movie) WHERE m.imdb_id STARTS WITH 'tt' RETURN m.title, m.imdb_id LIMIT 3","match $m isa movie; $m has imdb_id $imdb_id; $m has title $title; limit 3; fetch { ""title"": $title, ""imdb_id"": $imdb_id };",Missing STARTS WITH filter for 'tt' - TypeQL returns any movies with imdb_id
32,Which movies have been produced in more than one country?,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country) WITH m, count(c) AS num_countries WHERE num_countries > 1 RETURN m.title AS movie, num_countries","match $m isa movie; $c isa country; $rel0 (media: $m, country: $c) isa produced_in_country; $m has title $title_m; reduce $count = count($c); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 1
38,Name 3 movies with a budget of exactly 30 million.,MATCH (m:Movie) WHERE m.budget = 30000000 RETURN m.title LIMIT 3,"match $m isa movie; $m has budget $budget; $m has title $title; limit 3; fetch { ""title"": $title };
  $budget == 30000000;",Missing budget filter for 30000000 - TypeQL returns any 3 movies
50,Display movies that have been released in the 'United States of America'.,MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country {name: 'United States of America'}) WHERE m.status = 'Released' RETURN m,"match $m isa movie; $c isa country, has country_name 'United States of America'; $rel0 (media: $m, country: $c) isa produced_in_country; $m has status $status_m; $status_m == ""Released"";",Missing fetch clause - query is incomplete
54,Which movies have been rated exactly 5.0 by any user?,MATCH (m:Movie)<-[r:RATED]-(u:User) WHERE r.rating = 5.0 RETURN m.title,"match $m isa movie; $u isa user; $r (rated_media: $m, reviewer: $u) isa rated, has rating $rating; $m has title $title_m; fetch { ""title"": $title_m, ""rating"": $rating };
  $rating == 5.0;",Missing filter for rating = 5.0 - TypeQL returns all rated movies
55,Display all movies that were released in the 1990s.,MATCH (m:Movie) WHERE m.release_date >= date('1990-01-01') AND m.release_date < date('2000-01-01') RETURN m,"match $m isa movie; $m has release_date $release_date;
  $release_date <= 2000-01-01;
  $release_date >= 1990-01-01;",Missing date range filter for 1990s; missing fetch clause
56,List the top 3 movies with the most revenue that were released before the year 2000.,"MATCH (m:Movie) WHERE m.release_date < date('2000-01-01') AND m.revenue IS NOT NULL RETURN m.title, m.revenue ORDER BY m.revenue DESC LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has revenue $revenue; $m has title $title; sort $revenue desc; limit 3; fetch { ""title"": $title, ""revenue"": $revenue };
  $release_date <= 2000-01-01;",Missing date filter for before 2000 - TypeQL returns top 3 regardless of date
59,Which movies have been translated into more than three languages?,"MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l:Language) WITH m, count(l) AS languageCount WHERE languageCount > 3 RETURN m.title AS movie, languageCount AS translatedLanguages","match $m isa movie; $l isa language; $rel0 (media: $m, language: $l) isa spoken_in_language; $m has title $title_m; reduce $count = count($l); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 3
61,Find all movies where Tom Hanks is listed first in the cast.,MATCH (p:Person {name: 'Tom Hanks'})-[r:CAST_FOR]->(m:Movie) WHERE r.order = 0 RETURN m,"match $p isa person, has person_name 'Tom Hanks'; $m isa movie; $r (actor: $p, film: $m) isa cast_for;",Missing filter for cast_order = 0; missing fetch clause
62,Which movies are associated with more than one production company?,"MATCH (m:Movie)-[:PRODUCED_BY]->(c:ProductionCompany) WITH m, count(c) AS num_companies WHERE num_companies > 1 RETURN m.title AS movie, num_companies","match $m isa movie; $c isa production_company; $rel0 (media: $m, producer: $c) isa produced_by; $m has title $title_m; reduce $count = count($c); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 1
63,Display the top 5 movies with the highest budget to revenue ratio.,"MATCH (m:Movie) WHERE m.budget IS NOT NULL AND m.revenue IS NOT NULL RETURN m.title, m.budget, m.revenue, m.budget / m.revenue AS budget_revenue_ratio ORDER BY budget_revenue_ratio DESC LIMIT 5","match $m isa movie; $m has budget $budget; $m has revenue $revenue; $m has title $title; limit 5; fetch { ""title"": $title, ""budget"": $budget, ""budget_revenue_ratio"": $revenue };",Missing ratio calculation and sorting; returns revenue as ratio which is incorrect
66,Identify all movies that were produced in a country other than the United States.,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country) WHERE c.name <> 'United States of America' RETURN m.title, c.name","match $m isa movie; $c isa country; $rel0 (media: $m, country: $c) isa produced_in_country; $m has title $title_m; $c has country_name $country_name_c; fetch { ""title"": $title_m, ""name"": $country_name_c };",Missing filter to exclude 'United States of America' - returns all countries
69,"Display movies that have been rated after January 1, 2015.","MATCH (m:Movie)<-[r:RATED]-(u:User) WHERE r.timestamp >= date('2015-01-01') RETURN m.title AS movie, r.rating AS rating, r.timestamp AS rated_at","match $m isa movie; $u isa user; $r (rated_media: $m, reviewer: $u) isa rated, has rating $rating, has timestamp $timestamp; $m has title $title_m; fetch { ""movie"": $title_m, ""rating"": $rating, ""rated_at"": $timestamp };
  $timestamp >= 2015-01-01;",Missing timestamp filter for >= 2015-01-01
70,Which movies have the most keywords associated with them?,"MATCH (m:Movie)-[r:HAS_KEYWORD]->(k:Keyword) RETURN m.title AS movie, count(r) AS num_keywords ORDER BY num_keywords DESC LIMIT 10","match $m isa movie; $k isa keyword; $r (media: $m, keyword: $k) isa has_keyword; $m has title $title_m; reduce $count = count($r);","Missing sort, limit, and fetch with movie title - only returns count"
74,Find all movies that have a runtime of exactly 90 minutes.,MATCH (m:Movie) WHERE m.runtime = 90 RETURN m,"match $m isa movie; $m has runtime $runtime;
  $runtime == 90;",Missing filter for runtime = 90; missing fetch clause
75,Which movies have Tom Hanks credited as a producer?,MATCH (p:Person {name: 'Tom Hanks'})-[r:CREW_FOR {job: 'Producer'}]->(m:Movie) RETURN m.title,"match $p isa person, has person_name 'Tom Hanks'; $m isa movie; $r (crew_member: $p, film: $m) isa crew_for, has job ""Producer""; $m has title $title_m; fetch { ""title"": $title_m };",Missing filter for job = 'Producer' - returns all crew roles for Tom Hanks
81,Which movies have more than three genres associated with them?,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WITH m, count(g) AS genreCount WHERE genreCount > 3 RETURN m.title AS movie, genreCount","match $m isa movie; $g isa genre; $rel0 (media: $m, genre: $g) isa in_genre; $m has title $title_m; reduce $count = count($g); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 3
84,List all movies produced in countries where the primary language is not English.,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country) WHERE NOT EXISTS { (m)-[:ORIGINAL_LANGUAGE]->(:Language {name: 'English'}) } RETURN m.title AS movie, c.name AS country","match $m isa movie; $c isa country; $rel0 (media: $m, country: $c) isa produced_in_country; $m has title $title_m; $c has country_name $country_name_c; fetch { ""movie"": $title_m, ""country"": $country_name_c };",Missing NOT EXISTS filter for English original language
86,Display movies that have a revenue of zero.,"MATCH (m:Movie) WHERE m.revenue = 0 RETURN m.title, m.revenue","match $m isa movie; $m has revenue $revenue; $m has title $title; fetch { ""title"": $title, ""revenue"": $revenue };
  $revenue == 0;",Missing filter for revenue = 0 - returns all movies with revenue
94,Which movies were released after the year 2000?,"MATCH (m:Movie) WHERE m.release_date > date('2000-01-01') RETURN m.title, m.release_date","match $m isa movie; $m has release_date $release_date; $m has title $title; fetch { ""title"": $title, ""release_date"": $release_date };
  $release_date >= 2000-01-01;",Missing date filter for after 2000 - returns all movies
101,Which production companies have produced movies with a budget over 50 million?,MATCH (c:ProductionCompany)-[:PRODUCED_BY]-(m:Movie) WHERE m.budget > 50000000 RETURN DISTINCT c.name AS company,"match $c isa production_company; $m isa movie; $c has production_company_name $production_company_name_c; $m has budget $budget_m; $budget_m > 50000000; fetch { ""company"": $production_company_name_c, ""name"": $production_company_name_c };",Missing relation between production company and movie
116,List the first 5 movies that have been associated with more than one genre.,"MATCH (m:Movie)-[:IN_GENRE]->(g:Genre) WITH m, count(g) AS genreCount WHERE genreCount > 1 RETURN m.title LIMIT 5","match $m isa movie; $g isa genre; $rel0 (media: $m, genre: $g) isa in_genre; $m has title $title_m; reduce $count = count($g); limit 5; fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 1
118,Which languages have more than 5 movies spoken in them?,"MATCH (l:Language)<-[:SPOKEN_IN_LANGUAGE]-(m:Movie) WITH l, count(m) AS movieCount WHERE movieCount > 5 RETURN l.name AS language, movieCount","match $l isa language; $m isa movie; $rel0 (language: $l, media: $m) isa spoken_in_language; $l has language_name $language_name_l; reduce $count = count($m); fetch { ""count"": $count };",Wrong output - returns count instead of language names; missing filter for count > 5
126,List the top 3 most controversial adult films based on their overview.,"MATCH (a:Adult) WHERE a.overview IS NOT NULL RETURN a.title, a.overview ORDER BY size(a.overview) DESC LIMIT 3","match $a isa adult; $a has overview $overview; $a has title $title; sort $overview asc; limit 3; fetch { ""title"": $title, ""overview"": $overview };",Wrong sort direction (asc instead of desc) and sorting by string instead of length
128,Which adult films have been released after 2010?,"MATCH (a:Adult) WHERE a.release_date > date('2010-01-01') RETURN a.title, a.release_date","match $a isa adult; $a has release_date $release_date; $a has title $title; fetch { ""title"": $title, ""release_date"": $release_date };
  $release_date >= 2010-01-01;",Missing date filter for after 2010 - returns all adult films
133,List the first 5 subscriptions that expire in 2020.,MATCH (s:Subscription) WHERE s.expiresAt >= date('2020-01-01') AND s.expiresAt < date('2021-01-01') RETURN s LIMIT 5,match $s isa subscription; $s has expires_at $expires_at; limit 5;,Missing date range filter for 2020; missing fetch clause
134,What are the prices of the packages named 'Gold' and 'Platinum'?,"MATCH (p:Package) WHERE p.name IN ['Gold', 'Platinum'] RETURN p.name AS package, p.price AS price","match $p isa package; $p has package_name $package_name; $p has package_price $package_price; fetch { ""package"": $package_name, ""price"": $package_price };",Missing filter for package names 'Gold' and 'Platinum' - returns all packages
138,What are the top 3 movies by vote count that were released in the 1990s?,"MATCH (m:Movie) WHERE m.release_date >= date('1990-01-01') AND m.release_date < date('2000-01-01') RETURN m.title, m.vote_count ORDER BY m.vote_count DESC LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has title $title; $m has vote_count $vote_count; sort $vote_count desc; limit 3; fetch { ""title"": $title, ""vote_count"": $vote_count };
  $release_date <= 2000-01-01;
  $release_date >= 1990-01-01;",Missing date range filter for 1990s
139,Which movies have a revenue greater than their budget?,"MATCH (m:Movie) WHERE m.revenue > m.budget RETURN m.title, m.budget, m.revenue","match $m isa movie; $m has revenue $revenue; $m has budget $budget; $m has title $title; fetch { ""title"": $title, ""budget"": $budget, ""revenue"": $revenue };",Missing comparison filter revenue > budget
143,Which countries have produced more than 10 movies in the database?,"MATCH (c:Country)<-[:PRODUCED_IN_COUNTRY]-(m:Movie) WITH c, count(m) AS num_movies WHERE num_movies > 10 RETURN c.name AS country, num_movies ORDER BY num_movies DESC","match $c isa country; $m isa movie; $rel0 (country: $c, media: $m) isa produced_in_country; $c has country_name $country_name_c; reduce $count = count($m); fetch { ""count"": $count };",Wrong output - returns count instead of country names; missing filter for count > 10; missing sort
145,Which movies have been produced in more than one country?,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country) WITH m, count(c) AS num_countries WHERE num_countries > 1 RETURN m.title AS movie, num_countries","match $m isa movie; $c isa country; $rel0 (media: $m, country: $c) isa produced_in_country; $m has title $title_m; reduce $count = count($c); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 1
146,List the first 5 movies with a poster path ending in '.jpg'.,"MATCH (m:Movie) WHERE m.poster_path IS NOT NULL AND m.poster_path ENDS WITH '.jpg' RETURN m.title, m.poster_path LIMIT 5","match $m isa movie; $m has poster_path $poster_path; $m has title $title; limit 5; fetch { ""title"": $title, ""poster_path"": $poster_path };",Missing ENDS WITH filter for '.jpg'
148,Which movies have been translated into more than three languages?,"MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l:Language) WITH m, count(l) AS languageCount WHERE languageCount > 3 RETURN m.title AS movie, languageCount AS translatedLanguages","match $m isa movie; $l isa language; $rel0 (media: $m, language: $l) isa spoken_in_language; $m has title $title_m; reduce $count = count($l); fetch { ""count"": $count };",Wrong output - returns count instead of movie titles; missing filter for count > 3
150,What are the first 3 movies with the highest budget to revenue ratio?,"MATCH (m:Movie) WHERE m.budget IS NOT NULL AND m.revenue IS NOT NULL RETURN m.title, m.budget, m.revenue, m.budget / m.revenue AS ratio ORDER BY ratio DESC LIMIT 3","match $m isa movie; $m has budget $budget; $m has revenue $revenue; $m has title $title; limit 3; fetch { ""title"": $title, ""budget"": $budget, ""ratio"": $revenue };",Missing ratio calculation and sorting; returns revenue as ratio which is incorrect
152,Which production companies have produced movies that are part of a collection?,MATCH (c:Collection)<-[:IN_COLLECTION]-(m:Movie)<-[:PRODUCED_BY]-(p:ProductionCompany) RETURN DISTINCT p.name AS ProductionCompany,"match $c isa collection; $m isa movie; $p isa production_company; $rel0 (collection: $c, media: $m) isa in_collection; $p has production_company_name $production_company_name_p; fetch { ""ProductionCompany"": $production_company_name_p, ""name"": $production_company_name_p };",Missing produced_by relation between movie and production company
154,Which movies have a cast member with the profile path ending in 'jpg'?,MATCH (m:Movie)<-[:CAST_FOR]-(p:Person) WHERE p.profile_path ENDS WITH '.jpg' RETURN m.title,"match $m isa movie; $p isa person; $rel0 (film: $m, actor: $p) isa cast_for; $m has title $title_m; $p has profile_path $profile_path_p; fetch { ""title"": $title_m };",Missing ENDS WITH filter for '.jpg' on profile_path
155,List the first 3 movies with a revenue of zero.,MATCH (m:Movie) WHERE m.revenue = 0 RETURN m.title LIMIT 3,"match $m isa movie; $m has revenue $revenue; $m has title $title; limit 3; fetch { ""title"": $title };
  $revenue == 0;",Missing filter for revenue = 0
162,List the first 3 videos with no revenue reported.,"MATCH (v:Video) WHERE v.revenue IS NULL OR v.revenue = 0 RETURN v.title, v.revenue LIMIT 3","match $v isa video; $v has revenue $revenue; $v has title $title; limit 3; fetch { ""title"": $title, ""revenue"": $revenue };
  $revenue == 0;",Missing filter for revenue = 0 or NULL
168,What are the first 3 videos that have been rated higher than 8.0?,"MATCH (v:Video)<-[r:RATED]-(u:User) WHERE r.rating > 8.0 RETURN v.title, r.rating ORDER BY r.rating DESC LIMIT 3","match $v isa video; $u isa user; $r (rated_media: $v, reviewer: $u) isa rated, has rating $rating; $v has title $title_v; limit 3; fetch { ""title"": $title_v, ""rating"": $rating };
  $rating > 8.0;",Missing filter for rating > 8.0; missing sort
171,What are the top 3 most budget-efficient adult films (highest revenue to budget ratio)?,"MATCH (a:Adult) WHERE a.budget IS NOT NULL AND a.revenue IS NOT NULL RETURN a.title, a.revenue / a.budget AS efficiency ORDER BY efficiency DESC LIMIT 3","match $a isa adult; $a has budget $budget; $a has revenue $revenue; $a has title $title; limit 3; fetch { ""title"": $title, ""revenue"": $revenue, ""efficiency"": $budget };",Missing ratio calculation and sorting; returns budget as efficiency which is incorrect
174,List the top 3 movies released in the United States of America.,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(:Country {name: 'United States of America'}) RETURN m.title, m.release_date, m.popularity ORDER BY m.popularity DESC LIMIT 3","match $m isa movie; $country isa country, has country_name 'United States of America'; (media: $m, country: $country) isa produced_in_country; $m has title $title; $m has release_date $release_date; $m has popularity $popularity; sort $popularity desc; limit 3; fetch { ""title"": $title, ""release_date"": $release_date, ""popularity"": $popularity };",Missing relation to filter by country 'United States of America'
178,What are the first 5 movies rated by user with ID 1?,"MATCH (u:User {id: 1})-[r:RATED]->(m:Movie) RETURN m.title, r.rating ORDER BY r.timestamp LIMIT 5","match $u isa user, has user_id 1; $m isa movie; $r (reviewer: $u, rated_media: $m) isa rated, has rating $rating; $m has title $title_m; limit 5; fetch { ""title"": $title_m, ""rating"": $rating };",Missing sort by timestamp
180,Which 3 highest budget movies were released after 2000?,"MATCH (m:Movie) WHERE m.release_date > date('2000-01-01') AND m.budget IS NOT NULL RETURN m.title, m.budget ORDER BY m.budget DESC LIMIT 3","match $m isa movie; $m has release_date $release_date; $m has budget $budget; $m has title $title; sort $budget desc; limit 3; fetch { ""title"": $title, ""budget"": $budget };
  $release_date >= 2000-01-01;",Missing date filter for after 2000
